station,ro_number,full_name
Albuquerque,340,Albuquerque Regional Office
Anchorage,463,Anchorage Regional Office
Atlanta,316,Atlanta Regional Office
Baltimore,313,Baltimore Regional Office
Boise,347,Boise Regional Office
Boston,301,Boston Regional Office
Buffalo,307,Buffalo Regional Office
Cheyenne,442,Cheyenne Regional Office
Chicago,328,Chicago Regional Office
Cleveland,325,Cleveland Regional Office
Columbia,319,Columbia Regional Office
Denver,339,Denver Regional Office
Des Moines,333,Des Moines Regional Office
Detroit,329,Detroit Regional Office
Fargo,437,Fargo Regional Office
Ft. Harrison,436,Ft. Harrison Regional Office
Hartford,308,Hartford Regional Office
Honolulu,459,Honolulu Regional Office
Houston,362,Houston Regional Office
Huntington,315,Huntington Regional Office
Indianapolis,326,Indianapolis Regional Office
Jackson,323,Jackson Regional Office
Lincoln,334,Lincoln Regional Office
Little Rock,350,Little Rock Regional Office
Los Angeles,344,Los Angeles Regional Office
Louisville,327,Louisville Regional Office
Manchester,373,Manchester Regional Office
Manila,358,Manila Regional Office
Milwaukee,330,Milwaukee Regional Office
Montgomery,322,Montgomery Regional Office
Muskogee,351,Muskogee Regional Office
Nashville,320,Nashville Regional Office
New Orleans,321,New Orleans Regional Office
New York,306,New York Regional Office
Newark,309,Newark Regional Office
Oakland,343,Oakland Regional Office
Philadelphia,310,Philadelphia Regional Office
Phoenix,345,Phoenix Regional Office
Pittsburgh,311,Pittsburgh Regional Office
Portland,348,Portland Regional Office
Providence,304,Providence Regional Office
Reno,354,Reno Regional Office
Roanoke,314,Roanoke Regional Office
Salt Lake City,341,Salt Lake City Regional Office
San Diego,377,San Diego Regional Office
San Juan,355,San Juan Regional Office
Seattle,346,Seattle Regional Office
Sioux Falls,438,Sioux Falls Regional Office
S. Louis,331,S. Louis Regional Office
St. Paul,335,St. Paul Regional Office
St. Petersburg,317,St. Petersburg Regional Office
Togus,402,Togus Regional Office
Waco,349,Waco Regional Office
Washington,372,Washington Regional Office
White River Jct,405,White River Jct Regional Office
Wichita,452,Wichita Regional Office
Wilmington,460,Wilmington Regional Office
Winston-Salem,318,Winston-Salem Regional Office
