id,Randon_check,claim_adjucation,ranking_decision,veteran_id,claim_id,ethicity,location,age_group,gender,period_of_service,rank,branch
1,0.13,granted,granted_10,V_1,C_9993,W,loc_a,76-85,M,(o) Between KC & VNE,Enlisted,Air Force
2,0.18,granted,granted_10,V_2,C_9992,W,loc_f,26-35,M,(u) GW Era - Pre 9/11 only,Enlisted,Air Force
3,0.95,granted,granted_0,V_3,C_9993,W,loc_j,56-65,M,(o) Between KC & VNE,Enlisted,Army
4,0.75,granted,granted_0,V_4,C_9994,W,loc_g,66-75,M,(v) GW Era - Pre 9/11 & GW Era - Post 9/11,Enlisted,Navy
5,0.62,granted,granted_0,V_5,C_9995,T,loc_a,66-75,M,(w) GW Era - Post 9/11 only,Enlisted,Air Force
6,0.53,granted,granted_0,V_6,C_9996,W,loc_a,66-75,M,(t) Between VNE & GW Era,Enlisted,Navy
7,0.58,denied,denied,V_7,C_9997,W,loc_a,46-55,M,(w) GW Era - Post 9/11 only,Enlisted,Army
8,0.63,denied,denied,V_8,C_9998,W,loc_g,56-65,ND,(p) VNE only,Officer,Air Force
9,0.75,granted,granted_0,V_9,C_9999,W,loc_d,56-65,M,(v) GW Era - Pre 9/11 & GW Era - Post 9/11,Enlisted,Army
10,0.45,granted,granted_0,V_10,C_99910,O,loc_d,76-85,M,(p) VNE only,Enlisted,Air Force
11,0.40,denied,denied,V_11,C_99911,W,loc_a,46-55,M,(w) GW Era - Post 9/11 only,Enlisted,Navy
12,0.41,denied,denied,V_12,C_99912,W,loc_d,56-65,M,(w) GW Era - Post 9/11 only,Enlisted,Army
13,0.99,denied,denied,V_13,C_99913,W,loc_l,76-85,M,(p) VNE only,Enlisted,Air Force
14,0.43,denied,denied,V_14,C_99914,W,loc_g,56-65,M,(w) GW Era - Post 9/11 only,Enlisted,Navy
15,0.34,denied,denied,V_15,C_99915,W,loc_c,76-85,M,(p) VNE only,Enlisted,Army
16,0.83,denied,denied,V_16,C_99916,HL,loc_i,86-above,M,(t) Between VNE & GW Era,Enlisted,Army
17,0.84,granted,granted_0,V_17,C_99917,W,loc_c,56-65,M,(o) Between KC & VNE,Enlisted,Army
18,0.31,granted,granted_0,V_18,C_99918,W,loc_c,76-85,M,(o) Between KC & VNE,Enlisted,Army
19,0.33,granted,granted_0,V_19,C_99919,W,loc_g,76-85,M,(p) VNE only,Enlisted,Navy
20,0.52,denied,denied,V_20,C_99920,T,loc_d,76-85,M,(u) GW Era - Pre 9/11 only,Enlisted,Marines
21,0.77,granted,granted_0,V_21,C_99921,W,loc_l,66-75,M,(t) Between VNE & GW Era,Enlisted,Navy
22,0.64,denied,denied,V_22,C_99922,W,loc_e,76-85,M,(o) Between KC & VNE,Enlisted,Air Force
23,0.20,denied,denied,V_23,C_99923,W,loc_a,66-75,M,(p) VNE only,Enlisted,Army
24,0.10,granted,granted_10,V_24,C_99924,W,loc_c,76-85,M,(u) GW Era - Pre 9/11 only,Enlisted,Navy
25,0.31,denied,denied,V_25,C_99925,W,loc_f,66-75,M,(u) GW Era - Pre 9/11 only,Enlisted,Army
